epoch,loss,val_loss
0,0.40674206614494324,0.31546294689178467
1,0.2831946015357971,0.2686140537261963
2,0.26728782057762146,0.26574453711509705
3,0.26423078775405884,0.2664088308811188
4,0.26237544417381287,0.2615770697593689
5,0.2597304582595825,0.258748322725296
6,0.25742214918136597,0.25478771328926086
7,0.2561129033565521,0.26208141446113586
8,0.2556554079055786,0.2527197003364563
9,0.254604697227478,0.25501030683517456
10,0.25384461879730225,0.25234830379486084
11,0.2536892592906952,0.25158223509788513
12,0.25353601574897766,0.25119346380233765
13,0.252937376499176,0.2513899505138397
14,0.25263112783432007,0.2544512450695038
15,0.2526913583278656,0.2528003752231598
16,0.2523324489593506,0.25245437026023865
17,0.25194257497787476,0.25078654289245605
18,0.25188350677490234,0.25035104155540466
19,0.25169187784194946,0.25127196311950684
20,0.2514583468437195,0.24972067773342133
21,0.2513313889503479,0.250070184469223
22,0.2509383261203766,0.24935351312160492
23,0.25086426734924316,0.24900169670581818
24,0.25069713592529297,0.2499452531337738
25,0.2505331337451935,0.24893604218959808
26,0.250388503074646,0.24885529279708862
27,0.25037825107574463,0.25038453936576843
28,0.2501841187477112,0.24903926253318787
29,0.24985642731189728,0.24850378930568695
30,0.24983711540699005,0.24863992631435394
31,0.24951906502246857,0.2490939199924469
32,0.24946992099285126,0.2492077350616455
33,0.2493501901626587,0.2481188029050827
34,0.24923491477966309,0.24825794994831085
35,0.24908128380775452,0.24792400002479553
36,0.24891740083694458,0.24819505214691162
37,0.24885351955890656,0.24856024980545044
38,0.24863220751285553,0.2477865368127823
39,0.24853156507015228,0.24797238409519196
40,0.24849958717823029,0.24769635498523712
41,0.2483844757080078,0.2480764240026474
42,0.2481974959373474,0.2478327602148056
43,0.24819998443126678,0.24794770777225494
44,0.24813388288021088,0.24741435050964355
45,0.24799363315105438,0.24745982885360718
46,0.24793800711631775,0.24741409718990326
47,0.24796763062477112,0.24733152985572815
48,0.24792881309986115,0.2472059428691864
49,0.24788673222064972,0.24730396270751953
